sku,stock
CL2TRW,458
CL2TRW+SWHBPB1OSWB,0
CL2TRW5PK,15
CL2TRWAPK,48
CL2TSI,649
CL2TSI+SWHBPB1OSWB,649
CL2TSI5PK,129
CL2TSIAPK,27
CL2TTB5PK,0
CL2TTBAPK,0
CL2TWH,1296
CL2TWH5PK,52
CL2TWHAPK,52
CL2TYE,399
CL2TYE5PK,79
CL2TYEAPK,20
CL2TYH5PK,0
CL3RAG,601
CL3RAG5PK,120
CL3RAGAPK,8
CL3RBD,574
CL3RBD5PK,114
CL3RBDAPK,57
CL3RBKAPK,27
CL3RBL,472
CL3RBL5PK,28
CL3RBLAPK,27
CL3RBLFPK,4
CL3RBM,1895
CL3RBM3PK,631
CL3RBM5PK,543
CL3RBMAPK,253
CL3RBPAPK,35
CL3RBR,464
CL3RBR5PK,166
CL3RBRAPK,32
CL3RBT,532
CL3RBT5PK,18
CL3RBTAPK,51
CL3RBU,289
CL3RBU2PK,144
CL3RBU3PK,96
CL3RBU4PK,72
CL3RBU5PK,67
CL3RBUAPK,17
CL3RBUEPK,5
CL3RBW,461
CL3RBW5PK,99
CL3RBWAPK,51
CL3RCR,431
CL3RCR5PK,56
CL3RCRAPK,26
CL3RGD,614
CL3RGD5PK,111
CL3RGDAPK,43
CL3RGL,751
CL3RGL5PK,264
CL3RGLAPK,48
CL3RGM,0
CL3RGM5PK,0
CL3RGMAPK,0
CL3RGRAPK,43
CL3RGY,668
CL3RGY5PK,61
CL3RGYAPK,22
CL3RHE,446
CL3RHE5PK,182
CL3RHEAPK,126
CL3RIV,437
CL3RIV5PK,60
CL3RIVAPK,42
CL3RLB,659
CL3RLB5PK,9
CL3RLBAPK,33
CL3RLG,380
CL3RLG5PK,46
CL3RLGAPK,25
CL3RMD,0
CL3ROR,1118
CL3ROR5PK,223
CL3RORAPK,29
CL3RPE,609
CL3RPE5PK,121
CL3RPEAPK,21
CL3RPEFPK,6
CL3RPI,0
CL3RPI5PK,0
CL3RPIAPK,14
CL3RPU,684
CL3RPU5PK,32
CL3RPUAPK,52
CL3RPUFPK,6
CL3RRE,756
CL3RRE5PK,26
CL3RREAPK,27
CL3RRHAPK,22
CL3RRO5PK,32
CL3RROAPK,12
CL3RROFPK,8
CL3RRS,484
CL3RRS5PK,96
CL3RRSAPK,45
CL3RRSFPK,4
CL3RRW5PK,66
CL3RRWAPK,79
CL3RSI,581
CL3RSI5PK,18
CL3RSIAPK,37
CL3RSIFPK,5
CL3RTB,0
CL3RTB5PK,0
CL3RTBAPK,0
CL3RTBFPK,0
CL3RWH,989
CL3RWH5PK,143
CL3RWHAPK,50
CL3RWX,174
CL3RWX5PK,34
CL3RWXAPK,17
CL3RYE,508
CL3RYE5PK,101
CL3RYEAPK,34
CL3RYEFPK,5
CL3RYT,151
CL3RYT5PK,30
CL3RYTAPK,15
CL3TAG,575
CL3TAG+SWHBSP1OSWH+SPPGUK3PWH,240
CL3TAG5PK,165
CL3TAGAPK,101
CL3TBD,326
CL3TBD5PK,66
CL3TBDAPK,70
CL3TBK,1891
CL3TBK5PK,252
CL3TBKAPK,74
CL3TBL,401
CL3TBL5PK,80
CL3TBLAPK,30
CL3TBM,2032
CL3TBM3PK,677
CL3TBM5PK,218
CL3TBMAPK,304
CL3TBP,202
CL3TBP5PK,40
CL3TBPAPK,15
CL3TBR,898
CL3TBR+SWHBSP1OSWH+SPPGUK3PWH,240
CL3TBR3PK,299
CL3TBR5PK,184
CL3TBRAPK,143
CL3TBT,655
CL3TBT5PK,19
CL3TBTAPK,16
CL3TBU,842
CL3TBU3PK,280
CL3TBU5PK,103
CL3TBUAPK,99
CL3TBW,886
CL3TBW5PK,19
CL3TBWAPK,8
CL3TCR,1270
CL3TCR5PK,187
CL3TCRAPK,68
CL3TGD,2567
CL3TGD5PK,582
CL3TGDAPK,392
CL3TGL,3137
CL3TGL5PK,584
CL3TGLAPK,166
CL3TGR,1002
CL3TGR5PK,69
CL3TGRAPK,18
CL3TGY,603
CL3TGY5PK,112
CL3TGYAPK,139
CL3THE,1789
CL3THE+SWHBSP1OSWH+SPPGUK3PWH,240
CL3THE5PK,285
CL3THEAPK,215
CL3TIV,1004
CL3TIV2PK,502
CL3TIV3PK,334
CL3TIV5PK,90
CL3TIVAPK,100
CL3TLB,1333
CL3TLB5PK,52
CL3TLBAPK,56
CL3TLG,56
CL3TLG2PK,28
CL3TLG3PK,18
CL3TLG5PK,11
CL3TLGAPK,5
CL3TLP5PK,31
CL3TMD,100
CL3TMD5PK,20
CL3TMDAPK,10
CL3TMS,0
CL3TMS5PK,0
CL3TMSAPK,0
CL3TMU,91
CL3TMU5PK,18
CL3TMUAPK,9
CL3TOR,0
CL3TOR+SWHBSP1OSWH+SPPGUK3PWH,0
CL3TOR5PK,35
CL3TORAPK,0
CL3TPE,370
CL3TPE5PK,74
CL3TPEAPK,10
CL3TPU,277
CL3TPU5PK,55
CL3TPUAPK,26
CL3TRE,603
CL3TRE5PK,82
CL3TREAPK,40
CL3TRH5PK,19
CL3TRO5PK,104
CL3TRS,121
CL3TRS5PK,9
CL3TRSAPK,16
CL3TRW,343
CL3TRW5PK,68
CL3TRWAPK,27
CL3TSI,352
CL3TSI5PK,70
CL3TSIAPK,32
CL3TTB,65
CL3TTB5PK,13
CL3TTBAPK,6
CL3TWH,856
CL3TWH+SWHBSP1OSWH+SPPGUK3PWH,240
CL3TWH5PK,81
CL3TWHAPK,41
CL3TWM,0
CL3TWM5PK,0
CL3TWMAPK,0
CL3TYE,531
CL3TYE5PK,106
CL3TYEAPK,53
CL3TYH,277
CL3TYH5PK,55
CL3TYHAPK,27
CL3TYT,0
CL3TYTAPK,0
CMWHAPK,1031
CMWHCPK,515
CMWHDPK,343
CMWHEPK,206
CMWHFPK,103
CNP1000BM,1311
CNP1000BM2PK,655
CNP1000BM5PK,262
CNP1000BMAPK,131
CNP1000CH,256
CNP1000CH2PK,128
CNP1000CH5PK,51
CNP1000CHAPK,25
CNP1000CO,842
CNP1000CO2PK,421
CNP1000CO5PK,168
CNP1000COAPK,84
CNP1000FG,224
CNP1000FG2PK,112
CNP1000FG5PK,44
CNP1000FGAPK,22
CNP1000GB,459
CNP1000GB2PK,229
CNP1000GB5PK,91
CNP1000GBAPK,45
CNP1000RO,323
CNP1000RO2PK,161
CNP1000RO5PK,64
CNP1000ROAPK,32
CNP1000WH,527
CNP1000WH2PK,263
CNP1000WH5PK,105
CNP1000WHAPK,52
CNP1000YB,393
CNP1000YB2PK,196
CNP1000YB5PK,78
CNP1000YBAPK,39
CNS500BB,0
CNS500BB3PK,0
CNS500BB5PK,0
CNS500BC,25
CNS500BC3PK,8
CNS500BC5PK,5
CNS500BM,0
CNS500BM3PK,0
CNS500BM5PK,0
CNS500BS,34
CNS500BS3PK,11
CNS500BS5PK,6
CNS500RR,16
CNS500RR3PK,5
CNS500RR5PK,0
CNS600BC,0
CNS600BM,0
CNS600BS,8
CNS600RR,0
CNT900BM,203
CNT900CH,140
CNT900CO,226
CNT900FG,212
CNT900GB,331
CNT900GB2PK,165
CNT900GB3PK,110
CNT900GB5PK,66
CNT900GBAPK,33
CNT900RO,590
CNT900RO2PK,295
CNT900RO3PK,196
CNT900RO5PK,118
CNT900ROAPK,59
CNT900WH,467
CNT900WH2PK,233
CNT900WH3PK,155
CNT900WH5PK,93
CNT900WHAPK,46
CNT900YB,340
CNT900YB2PK,170
CNT900YB3PK,113
CNT900YBAPK,34
CO1210ACL,1878
CO1210ACL5PK,375
CO1210ACLAPK,187
CO1210ACLCPK,93
CO1215ACL,2600
CO1215ACL5PK,520
CO1215ACLAPK,260
CO1215ACLCPK,130
CO1230ACL,693
CO1230ACL5PK,138
CO1230ACLAPK,69
CO1230ACLCPK,34
CO123ACL,3411
CO123ACL5PK,682
CO123ACLAPK,341
CO123ACLCPK,170
CO125ACL,1655
CO125ACL5PK,331
CO125ACLAPK,165
CO125ACLCPK,82
CO1260ACL,328
CO1260ACL5PK,65
CO1260ACLAPK,32
CO1260ACLCPK,16
CO126ACL,1904
CO126ACL5PK,380
CO126ACLAPK,190
CO126ACLCPK,95
CO224ACL,117
CO232AGY,0
CO232AGYAPK,0
CO232AGYCPK,0
CO232AGYEPK,0
CO232AGYFPK,0
CO232AOR5PK,11
CO232AORAPK,5
CO232AOREPK,0
CO232AORFPK,0
CO332AGY,0
CO332AGY2PK,0
CO332AGY5PK,0
CO332AGYAPK,0
CO332AGYCPK,0
CO332AGYEPK,0
CO332AGYFPK,0
