sku,stock
CBMP140BM6PK,16
CBMP140BMAPK,9
CBMP140WH,472
CBMP140WH2PK,236
CBMP140WH3PK,157
CBMP140WH5PK,94
CBMP140WH6PK,78
CBMP140WHAPK,46
CBMPBD,100
CBMPBDAPK,10
CBMPBL,94
CBMPBL+PSOS2BBM+LHCCE27BL+CGMLBM+CGFLBM,40
CBMPBLAPK,9
CBMPBM,182
CBMPBM+PSOS2BBM+LHCCE27BM,40
CBMPBM+PSOS2BBM+LHCCE27BM+ICST64E27,40
CBMPBMAPK,18
CBMPGR,96
CBMPGR+PSOS2BBM+LHCCE27GR,40
CBMPGR+PSOS2BBM+LHCCE27GR+ICST64E27,40
CBMPGRAPK,9
CBMPGY,99
CBMPGYAPK,9
CBMPOR,100
CBMPORAPK,10
CBMPRE,73
CBMPRE+PSOS2BBM+LHCCE27RE,40
CBMPRE+PSOS2BBM+LHCCE27RE+ICST64E27,40
CBMPREAPK,7
CBMPWH,83
CBMPWH+PSOS2BBM+LHCCE27WH,22
CBMPWH+PSOS2BBM+LHCCE27WH+ICST64E27,22
CBMPWHAPK,8
CBMPYE,91
CBMPYE+PSOS2BBM+LHCCE27YE,40
CBMPYE+PSOS2BBM+LHCCE27YE+ICST64E27,40
CBMPYEAPK,9
CBSF-Bracket - CA,0
CBSF100,3041
CBSF1002PK,1519
CBSF1003PK,1013
CBSF1004PK,759
CBSF1005PK,607
CBSF105,2107
CBSF1052PK,1052
CBSF110,1431
CBSF1102PK,715
CBSF1105PK,285
CBSF115,492
CBSF1152PK,245
CBSF1153PK,163
CBSF1155PK,97
CBSF120,1176
CBSF1202PK,587
CBSF1205PK,234
CBSF125,1148
CBSF1252PK,573
CBSF1255PK,229
CBSF135,410
CBSF1352PK,204
CBSF1355PK,81
CBSF140,569
CBSF1405PK,113
CBSF145,1297
CBSF1452PK,648
CBSF1455PK,259
CBSF155,572
CBSF1552PK,285
CBSF1553PK,190
CBSF1555PK,114
CBSF165,1228
CBSF1652PK,613
CBSF1655PK,245
CBSF170,1344
CBSF1702PK,672
CBSF175,924
CBSF1752PK,461
CBSF1755PK,184
CBSF185,1205
CBSF1852PK,602
CBSF1855PK,240
CBSF190,503
CBSF1902PK,251
CBSF1903PK,167
CBSF195,1244
CBSF1952PK,621
CBSF1955PK,248
CBSF205,172
CBSF2052PK,86
CBSF235,29
CBSF2352PK,14
CBSF295,618
CBSF2952PK,308
CBSF2955PK,123
CBSF40,1332
CBSF402PK,665
CBSF403PK,443
CBSF45,1472
CBSF452PK,736
CBSF453PK,489
CBSF50,1195
CBSF502PK,597
CBSF503PK,397
CBSF55,1760
CBSF552PK,879
CBSF553PK,584
CBSF60,1144
CBSF602PK,572
CBSF603PK,380
CBSF604PK,286
CBSF605PK,228
CBSF65,1860
CBSF652PK,930
CBSF653PK,618
CBSF655PK,371
CBSF70,1554
CBSF702PK,776
CBSF703PK,517
CBSF704PK,387
CBSF75,1792
CBSF752PK,896
CBSF753PK,597
CBSF754PK,447
CBSF755PK,358
CBSF80,1989
CBSF802PK,994
CBSF803PK,662
CBSF85,1199
CBSF852PK,599
CBSF853PK,398
CBSF855PK,239
CBSF90,1197
CBSF902PK,598
CBSF903PK,398
CBSF905PK,239
CBSF90APK,119
CBSF95,4328
CBSF952PK,2163
CBSF953PK,1441
CBSF954PK,1081
CBSF955PK,864
CBSF95APK,431
CBSF95CPK,215
CBSF95DPK,143
CBSF95EPK,85
CBSF95WH,973
CBSFBM,20852
CBSFBM2PK,10426
CBSFCL,4338
CBSFCL2PK,2169
CBSFEARTH,2000
CBSFNH95,0
CBSFRO115,490
CBSFRO1152PK,245
CBSFWH,3546
CBSFWH2PK,1772
CCBC12,452
CCBC122PK,226
CCBC18,672
CCBC182PK,336
CCBC24,608
CCBC242PK,303
CCBC243PK,202
CCBC3,1131
CCBC32PK,565
CCBC33PK,376
CCBC36,562
CCBC362PK,280
CCBC363PK,186
CCBC5,1069
CCBC52PK,534
CCBC53PK,356
CCBC7,899
CCBC72PK,449
CCBC9,781
CCBC92PK,390
CCBKNWE12,483
CCBKNWE122PK,241
CCBKNWE18,411
CCBKNWE182PK,205
CCBKNWE25,444
CCBKNWE252PK,221
CCBKNWE3,620
CCBKNWE32PK,310
CCBKNWE36,325
CCBKNWE362PK,162
CCBKNWE40,247
CCBKNWE402PK,123
CCBKNWE403PK,81
CCBKNWE48,219
CCBKNWE482PK,109
CCBKNWE5,565
CCBKNWE50,131
CCBKNWE502PK,65
CCBKNWE52PK,282
CCBKNWE7,644
CCBKNWE72PK,321
CCGNNSWE24,542
CCGNNSWE48,161
CCGNNSWE482PK,80
CCGNNWE24,547
CCGNNWE242PK,273
CCGNNWE36,396
CCGNNWE362PK,198
CCGNNWE48,131
CCGNNWE482PK,65
CCGNNWE60,388
CCGNNWE602PK,194
CCGNNWE603PK,129
CCGRNWH50,38
CCGRNWH502PK,19
CCIP6712,191
CCIP6724,0
CCIP673,0
CCIP6736,0
CCIP6745,6
CCIP675,0
CCIP677,77
CCORNWH24,188
CCORNWH50,0
CCORNWH502PK,0
CCRDNWE50,21
CCRDNWE502PK,10
CENU1001200WH,25
CENU1001200WH2PK,12
CENU19150BM,98
CENU19150BM2PK,49
CENU19150WH,1512
CENU19150WH2PK,756
CENU25200BM,421
CENU25200BM2PK,210
CENU25200WH,1366
CENU25200WH2PK,683
CENU36300BM,35
CENU36300BM2PK,17
CENU36300WH,59
CENU36300WH2PK,29
CENU46450BM,79
CENU46450BM2PK,39
CENU46450WH,298
CENU46450WH2PK,149
CENU50300BM,1
CENU50300BM2PK,0
CENU50300WH,348
CENU50300WH2PK,174
CENU70450BM,54
CENU70450BM2PK,27
CENU70450WH,53
CENU70450WH2PK,26
CENU88700BM,0
CENU88700BM2PK,0
CENU88700WH,33
CENU88700WH2PK,16
CERU36150BL,791
CERU36150BL2PK,395
CERU36150GR,359
CERU36150GR2PK,179
CERU36150RE,825
CERU36150RE2PK,412
CERU36150YE,854
CERU36150YE2PK,427
CERU36200BL,733
CERU36200BL2PK,366
CERU36200BM,47
CERU36200BM2PK,23
CERU36200GR,466
