staff_name,department,store,shopify_product_id,shopify_product_gid,product_title,product_handle,product_url,product_status,variant_count,variant_ids,variant_gids,skus,collection_count,collection_ids,collection_handles,collection_titles,collection_urls,ownership_method,primary_source,source_updated_at,extracted_at,included_in_current_sales_scope,exclusion_reason
Kamsi,SEO,ledsone.co.uk,4417265696864,gid://shopify/Product/4417265696864,Single,,,ACTIVE,10,MISSING_FROM_DB,MISSING_FROM_DB,LDMG95E278|LDMG95E2782PK|LDMG95E2783PK|LDMG95E2784PK|LDMG95E2785PK|LDMG95E2786PK|LDMG95E2787PK|LDMG95E2788PK|LDMG95E2789PK|LDMG95E278APK,2,394336076026|159254806624,dimmable-led-bulbs|vintage-bulbs,Dimmable LED Bulbs|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:37,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417265893472,gid://shopify/Product/4417265893472,6 Pack,,,ACTIVE,6,MISSING_FROM_DB,MISSING_FROM_DB,LDMG125E278|LDMG125E2782PK|LDMG125E2783PK|LDMG125E2785PK|LDMG125E2786PK|LDMG125E278APK,2,394336076026|159254806624,dimmable-led-bulbs|vintage-bulbs,Dimmable LED Bulbs|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:37,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417265959008,gid://shopify/Product/4417265959008,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,LDMG125B228,2,159254904928|159254806624,led-bulbs|vintage-bulbs,LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:30,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417266155616,gid://shopify/Product/4417266155616,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2TBR|CL2TBR5PK|CL2TBRAPK,1,158039441504,2core-twisted,2 Core Twisted Cable,https://ledsone.co.uk/collections/2core-twisted,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417266319456,gid://shopify/Product/4417266319456,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2TGL|CL2TGL5PK|CL2TGLAPK,1,158039441504,2core-twisted,2 Core Twisted Cable,https://ledsone.co.uk/collections/2core-twisted,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417266417760,gid://shopify/Product/4417266417760,5 Pack,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,LDMST64E274|LDMST64E2745PK|LDMST64E274APK,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:30,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417266483296,gid://shopify/Product/4417266483296,8W,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,LDMST64B224|LDMST64B228,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417266614368,gid://shopify/Product/4417266614368,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,LDMST64B228,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:27,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417267531872,gid://shopify/Product/4417267531872,5M,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL3RGD|CL3RGD5PK|CL3RGDAPK,1,158040621152,3core-round,3 Core Round Cable,https://ledsone.co.uk/collections/3core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417267761248,gid://shopify/Product/4417267761248,5M,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL3RGL|CL3RGL5PK|CL3RGLAPK,1,158040621152,3core-round,3 Core Round Cable,https://ledsone.co.uk/collections/3core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417267826784,gid://shopify/Product/4417267826784,5M,,,ACTIVE,4,MISSING_FROM_DB,MISSING_FROM_DB,CL3RBM|CL3RBM3PK|CL3RBM5PK|CL3RBMAPK,1,158040621152,3core-round,3 Core Round Cable,https://ledsone.co.uk/collections/3core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:32,2026-07-14T09:12:19.913Z,true,
