landing_page,sessions,active_users,engagement_rate,user_engagement_duration_sec,pages_per_session,purchase_revenue
/collections/glass-lights-for-cafe-restaurant,1,1,1,17,2,0
/collections/glow-up-collection,1,1,1,85,6,0
/collections/holder/products/outdoor-e27-lamp-holder?variant=56330580459906,1,1,1,5,1,0
/collections/holder/products/outdoor-e27-lamp-holder?variant=56330580459906&_su_rec=rJN52_7gIK2-cV4_dyTSe34zYdFkRoPm0GVS6ejuQd2jthQ6QiNRYNaoGmp1-fHWWoPZosoU-R_XrmFsEHNFalG55qIgdAfV9oM9VsFY-fIy7AkC_mBs7EHsq0HH6KqdABv6UW5KYdqTpbfLMHfGOybVBo5ERc54C8Yj-togyzRBPtLFHgANhg6yosExgkGXTQ3ReRc5WRehlbaB5bo8xutyOoYXXYRDJ_et3IY0g2LsKFaCHCd2LPOqz40&_su_rec_id=d6ff3848-9fd3-482e-bf94-db779ba3c73d-1782209674,1,1,1,1,3,0
/collections/hooks-and-rings/products/yellow-brass-ceiling-cable-mount-hook-swag-pendant-and-chandelier-lighting-4429?variant=45379922952442,1,1,1,14,3,0
/collections/hooks-and-rings?shpxid=1e93439c-e4b2-483a-8f79-03973ac87d8c,1,1,1,108,2,0
/collections/incandescent-bulbs/products/vintage-st64-e27-60w-industrial-filament-bulb?variant=31497538601056,1,1,1,15,1,0
/collections/industrial,1,1,1,0,1,0
/collections/industrial-vintage-lighting,1,1,1,697,12,0
/collections/industrial-vintage-lighting?shop_consented_scopes=email%3Averified+openid+pay%3Asession_token+profile+shop%3Aaccount_uuid&shop_sign_in=true,1,1,1,13,2,0
/collections/industrial-vintage-lighting?shop_sign_in=true,1,1,1,371,17,0
/collections/ip20-led-power-supplies-1,1,1,1,0,1,0
/collections/ip45-rainproof-led-drivers,1,0,1,0,1,0
/collections/ip67-waterproof-led-drivers/products/waterproof-dc12v-ip67-30w-led-driver-power-supply-transformer?variant=31497524117600,1,1,1,69,6,0
/collections/kitchen-items,1,1,1,17,1,0
/collections/lamp-spare-parts-sales,1,1,1,1,2,0
/collections/lampshades/black-and-white,1,1,1,22,1,0
/collections/lampshades/ceiling-lights-for-bedroom-lights,1,1,1,35,2,0
/collections/lampshades/lighting-set,1,1,1,25,1,0
/collections/lampshades/products/wall-lights-sconces?variant=44537908396282,1,1,1,3,1,0
/collections/lampshades/vintage-fittings-for-pendant-lights,1,1,1,32,2,0
/collections/latest-pendent-shade/products/industrial-vintage-modern-metal-retro-e27-ceiling-burgundy-mosque-pendant-shade?variant=42904836112634,1,1,1,0,2,0
/collections/laundry-bags,1,1,1,35,1,0
/collections/led-bulbs/b22-base-bulb,1,1,1,83,3,0
/collections/led-drivers-led-modules/products/rgb-12v-smd-led-module-lights-ip65-waterproof-led-strips?variant=45094122684666,1,1,1,11,1,0
/collections/led-lighting?shop_consented_scopes=email%3Averified+openid+pay%3Asession_token+profile+shop%3Aaccount_uuid&shop_sign_in=true,1,1,1,117,7,0
/collections/led-panels,1,1,1,357,3,0
/collections/led-panels/led-lighting,1,1,1,4,1,0
/collections/led-transformers/dc-12v-transformers,1,1,1,35,1,0
/collections/led-transformers?keyword=&Content=Sonya,1,1,1,875,13,0
/collections/lighting-trends-2026/products/plug-in-gu10-wall-light-adjustable-spotlight-with-switch,1,1,1,3,1,0
/collections/lights-parts/products/1m-pendant-light-cord-set-with-chain?variant=56170541941122&currency=GBP&keyword=&Content=Sonya,1,1,1,759,6,0
/collections/lights-parts/products/2-set-pendant-light?variant=56258501837186&currency=GBP&keyword=&Content=Sonya,1,1,1,0,1,0
/collections/lights-parts/products/a60-e27-4w-edison-led-filament-bulb-amber-bulb-warm-white-screw-bulbs-2700k-4418?shop_consented_scopes=email%3Averified+openid+pay%3Asession_token+profile+shop%3Aaccount_uuid&shop_sign_in=true&variant=44592560144634,1,1,1,8,2,0
