staff_name,store,shopify_product_id,product_title,product_handle
Dilaksi,ledsone.co.uk,5956003266721,Rattan Wicker Yellow Woven Ball Globe Two Outlet Pendant Lampshade~1816,rattan-wicker-yellow-woven-ball-globe-two-outlet-pendant-lampshade
Dilaksi,ledsone.co.uk,5956003233953,Rattan Wicker Woven Red Ball Globe Pendant Lampshade Two Outlet~1817,rattan-wicker-woven-red-ball-globe-pendant-lampshade-two-outlet
Dilaksi,ledsone.co.uk,5956003201185,Cream Rattan Wicker Woven Ball Globe Two Outlet Pendant Lampshade~1818,cream-rattan-wicker-woven-ball-globe-two-outlet-pendant-lampshade
Dilaksi,ledsone.co.uk,5956003168417,White Rattan Wicker Woven Ball Globe Pendant Lampshade Two Outlet~1819,white-rattan-wicker-woven-ball-globe-pendant-lampshade-two-outlet
Dilaksi,ledsone.co.uk,5956003037345,Two Outlet Black Rattan Wicker Woven Ball Globe Pendant Lampshade~1820,two-outlet-black-rattan-wicker-woven-ball-globe-pendant-lampshade
Dilaksi,ledsone.co.uk,5956002840737,Blue Rattan Wicker Woven Pendant Lampshade Four Outlet~1822,blue-rattan-wicker-woven-pendant-lampshade-four-outlet
Dilaksi,ledsone.co.uk,5956002578593,Four Outlet Cream Rattan Wicker Woven Ball Globe Pendant Lampshade~1825,four-outlet-cream-rattan-wicker-woven-ball-globe-pendant-lampshade
Dilaksi,ledsone.co.uk,5956002447521,Black Rattan Wicker Woven Ball Globe Pendant Lampshade Four Outlet~1827,black-rattan-wicker-woven-ball-globe-pendant-lampshade-four-outlet
Dilaksi,ledsone.co.uk,5950507614369,Colors Multi Outlet Lattice Wicker Rattan Globe Shade~1828,colors-multi-outlet-lattice-wicker-rattan-globe-shade
Dilaksi,ledsone.co.uk,5911744643233,Modern Gloss Royal Blue Metal Dome Ceiling Pendant Light~1843,modern-gloss-royal-blue-metal-dome-ceiling-pendant-light
Dilaksi,ledsone.co.uk,5911744446625,Light Blue Mettal 40cm Ceiling Lamp Pendant Light~1844,light-blue-mettal-40cm-ceiling-lamp-pendant-light
Dilaksi,ledsone.co.uk,5911744282785,Modern Large Ceiling Black Metal Dome Pendant Light ~1845,40cm-black-metal-dome-pendant-light
Dilaksi,ledsone.co.uk,5911743856801,Grey Metal Ceiling Light Pendant Shade Retro Lampshade~1846,grey-metal-ceiling-light-pendant-shade-retro-lampshade
Dilaksi,ledsone.co.uk,5911743529121,Orange Metal Ceiling Lampshade Pendant Light Shade 40cm~1847,orange-metal-ceiling-lampshade-pendant-light-shade-40cm
Dilaksi,ledsone.co.uk,5907435552929,Modern Black Ceiling Light Shade Pendant Metal Dome Lamp Light~1853,modern-black-ceiling-light-shade-pendant-metal-dome-lamp-light
Dilaksi,ledsone.co.uk,5907435487393,Industrial  Brushed Copper Dome Pendant Hanging Lamp~1854,pendant-lamp-industrial-lamp-dome-brushed-copper-hanging-lamp
Dilaksi,ledsone.co.uk,5907435389089,Brushed Silver Retro Pendant Shade Metal Style pendant light~1855,brushed-silver-retro-pendant-shade-metal-style-lampshade
Dilaksi,ledsone.co.uk,5907435323553,Rustic Red Industrial Metal Ceiling Pendant Shade Hanging Retro Light~1856,rustic-red-industrial-metal-ceiling-pendant-shade-hanging-retro-light
Dilaksi,ledsone.co.uk,5877380972705,Blue Style Rattan Wicker Ceiling Pendant Lampshade Hanging Decoration Lamp~1878,blue-style-rattan-wicker-ceiling-pendant-lampshade-hanging-decoration-lamp
